CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;False;0;0;0;;0;0;0;;12,705;12,04;
2;GIGINHO72;True;0;0;0;;0;0;0;;6,05;5,67;
3;PIEROGIAN;True;0;0;0;;0;0;0;;18,18214;16,42;
4;OTTIMISTA;True;0;0;0;;0;0;0;;15,74714;14,26;
5;PICCA;True;0;0;0;;0;0;0;;1,38;1,38;
6;ERICO;True;0;0;0;;0;0;0;;4,56;4,56;
7;DDTUNITED;False;0;0;0;;0;0;0;;5,29;5,1;
8;MATTEO;True;0;0;0;;0;0;0;;7,815;7,34;
9;LOLLO;True;0;0;0;;0;0;0;;5,3;5,11;
10;ANGELIDE;False;0;0;0;;0;0;0;;14,27286;12,89;
11;TRICOLINO;True;0;0;0;;0;0;0;;10,92786;10,31;
