CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;True;0;0;0;;0;0;0;;8,073571;7,05;
2;GIGINHO72;True;0;0;0;;0;0;0;;9,991428;8,39;
3;PIEROGIAN;True;0;0;0;;0;0;0;;6,095;5,81;
4;OTTIMISTA;True;0;0;0;;0;0;0;;11,33143;10,2;
5;PICCA;True;0;0;0;;0;0;0;;13,23071;12,52;
6;ERICO;True;0;0;0;;0;0;0;;12,78857;11,48;
7;DDTUNITED;True;0;0;0;;0;0;0;;3,295;3,2;
8;MATTEO;True;0;0;0;;0;0;0;;14,42286;13,15;
9;LOLLO;True;0;0;0;;0;0;0;;16,57286;13,98;
10;ANGELIDE;True;0;0;0;;0;0;0;;9,212857;8,32;
11;TRICOLINO;True;0;0;0;;0;0;0;;2,86;2,67;
