CodGioc;Giocatore;Quote Totali;Quote Ris.;Quote Segni;;QT/14;QR/14;QS/14;;Punti Totali;Punti Senza Quote;
1;LOOIGI;False;28,11;12,16;15,95;;2,007857;0,8685714;1,139286;;14,33786;12,33;
2;DDTUNITED;False;16,93;0;16,93;;1,209286;0;1,209286;;11,70929;10,5;
3;DAVINGY;False;32,49;12,16;20,33;;2,320714;0,8685714;1,452143;;16,62071;14,3;
4;MATTEO;True;0;0;0;;0;0;0;;4,165714;3,75;
5;P_PER_IN_;True;0;0;0;;0;0;0;;3,51;3;
6;FABRO;False;58,36;41,72;16,64;;4,168571;2,98;1,188571;;18,96857;14,8;
8;ERPOMATA;True;0;0;0;;0;0;0;;3,685;3;
10;OTTIMISTA;False;47,47;33,7;13,77;;3,390714;2,407143;0,9835715;;13,72071;10,33;
11;MAMMIC;False;19,81;0;19,81;;1,415;0;1,415;;14,215;12,8;
12;TRICOLINO;False;21,19;0;21,19;;1,513572;0;1,513572;;14,44357;12,93;
13;ACCADICO;False;27,44;0;27,44;;1,96;0;1,96;;16,89;14,93;
14;MICGIUL;True;0;0;0;;0;0;0;;3,212857;2,75;
15;PUPONE84;True;0;0;0;;0;0;0;;6,593215;5,93;
16;PEPPO83;False;33,94;12,16;21,78;;2,424286;0,8685714;1,555714;;18,35429;15,93;
17;MARY;False;46,97;20,94;26,03;;3,355;1,495714;1,859286;;17,685;14,33;
